quote_id,vendor_id,sent_timestamp,status
7387,"Consolidated Metal Technologies, Inc.",2025-06-18 18:43:04.350734,draft_saved_with_issues
7919,"Consolidated Metal Technologies, Inc.",2025-06-18 18:43:04.772716,draft_saved_with_issues
7833,"Consolidated Metal Technologies, Inc.",2025-06-18 18:43:05.125744,draft_saved_with_issues
7387,"Consolidated Metal Technologies, Inc.",2025-06-18 19:00:27.121304,draft_saved_with_issues_NICKEL PLATE
7387,"Consolidated Metal Technologies, Inc.",2025-06-18 19:00:28.618728,draft_saved_with_issues_SOL-EPOXY
7919,"Consolidated Metal Technologies, Inc.",2025-06-18 19:00:29.258353,draft_saved_with_issues_Silver Plate
7833,"Consolidated Metal Technologies, Inc.",2025-06-18 19:00:29.927580,draft_saved_with_issues_Anodize
7387,Gleco Plating,2025-06-18 20:02:44.163082,draft_saved_with_issues_NICKEL PLATE
7387,NONE,2025-06-18 20:02:44.333977,skipped_no_vendor_SOL-EPOXY
7919,NONE,2025-06-18 20:02:44.714076,skipped_no_vendor_Silver Plate
7833,"Consolidated Metal Technologies, Inc.",2025-06-18 20:02:45.557841,draft_saved_with_issues_Anodize
7387,Gleco Plating,2025-06-18 20:16:35.228333,draft_saved_with_issues_NICKEL PLATE
7387,NONE,2025-06-18 20:16:35.376885,skipped_no_vendor_SOL-EPOXY
7919,NONE,2025-06-18 20:16:35.616450,skipped_no_vendor_Silver Plate
7833,"Consolidated Metal Technologies, Inc.",2025-06-18 20:16:36.559924,draft_saved_with_issues_Anodize
7387,"Consolidated Metal Technologies, Inc.",2025-06-18 20:23:30.794955,draft_saved_with_issues_Electroless Nickel
7387,NONE,2025-06-18 20:23:31.172278,skipped_no_vendor_SOL-EPOXY
7919,NONE,2025-06-18 20:23:31.526881,skipped_no_vendor_Silver Plate
7833,"Consolidated Metal Technologies, Inc.",2025-06-18 20:23:32.654768,draft_saved_with_issues_Anodize
7387,"Consolidated Metal Technologies, Inc.",2025-06-18 20:27:04.118604,draft_saved_with_issues_Electroless Nickel
7387,Gleco Plating,2025-06-18 20:27:06.159001,draft_saved_with_issues_Electroless Nickel
7387,Nxedge Inc.,2025-06-18 20:27:07.916418,draft_saved_with_issues_Electroless Nickel
7387,NONE,2025-06-18 20:27:08.083479,skipped_no_vendor_SOL-EPOXY
7919,NONE,2025-06-18 20:27:08.459258,skipped_no_vendor_Silver Plate
7833,"Consolidated Metal Technologies, Inc.",2025-06-18 20:27:09.580271,draft_saved_with_issues_Anodize
7833,"Brooks Industrial Coatings, Inc.",2025-06-18 20:27:10.588898,draft_saved_with_issues_Anodize
7833,Gleco Plating,2025-06-18 20:27:11.457366,draft_saved_with_issues_Anodize
7833,Nxedge Inc.,2025-06-18 20:27:12.337701,draft_saved_with_issues_Anodize
7387,"Consolidated Metal Technologies, Inc.",2025-06-18 21:08:55.592356,draft_saved_with_issues_Electroless Nickel
7387,Gleco Plating,2025-06-18 21:08:58.188539,draft_saved_with_issues_Electroless Nickel
7387,Nxedge Inc.,2025-06-18 21:09:01.034081,draft_saved_with_issues_Electroless Nickel
7387,NONE,2025-06-18 21:09:01.285930,skipped_no_vendor_SOL-EPOXY
7919,NONE,2025-06-18 21:09:01.681713,skipped_no_vendor_Silver Plate
7833,"Consolidated Metal Technologies, Inc.",2025-06-18 21:09:02.678276,draft_saved_with_issues_Anodize
7833,"Brooks Industrial Coatings, Inc.",2025-06-18 21:09:03.666771,draft_saved_with_issues_Anodize
7833,Gleco Plating,2025-06-18 21:09:04.641002,draft_saved_with_issues_Anodize
7833,Nxedge Inc.,2025-06-18 21:09:05.552493,draft_saved_with_issues_Anodize
7387,"Consolidated Metal Technologies, Inc.",2025-06-18 21:14:33.838381,draft_saved_with_issues_Electroless Nickel
7387,Gleco Plating,2025-06-18 21:14:35.488632,draft_saved_with_issues_Electroless Nickel
7387,Nxedge Inc.,2025-06-18 21:14:37.369569,draft_saved_with_issues_Electroless Nickel
7387,NONE,2025-06-18 21:14:37.607639,skipped_no_vendor_SOL-EPOXY
7919,NONE,2025-06-18 21:14:37.982945,skipped_no_vendor_Silver Plate
7833,"Consolidated Metal Technologies, Inc.",2025-06-18 21:14:39.305640,draft_saved_with_issues_Anodize
7833,"Brooks Industrial Coatings, Inc.",2025-06-18 21:14:40.575845,draft_saved_with_issues_Anodize
7833,Gleco Plating,2025-06-18 21:14:41.799632,draft_saved_with_issues_Anodize
7833,Nxedge Inc.,2025-06-18 21:14:43.154907,draft_saved_with_issues_Anodize
7387,"Consolidated Metal Technologies, Inc.",2025-06-18 21:29:52.274814,draft_saved_with_issues_Electroless Nickel
7387,Gleco Plating,2025-06-18 21:29:53.767443,draft_saved_with_issues_Electroless Nickel
7387,Nxedge Inc.,2025-06-18 21:29:55.288900,draft_saved_with_issues_Electroless Nickel
7387,NONE,2025-06-18 21:29:55.426940,skipped_no_vendor_SOL-EPOXY
7919,NONE,2025-06-18 21:29:55.627623,skipped_no_vendor_Silver Plate
7833,"Consolidated Metal Technologies, Inc.",2025-06-18 21:29:56.346676,draft_saved_with_issues_Anodize
7833,"Brooks Industrial Coatings, Inc.",2025-06-18 21:29:57.274375,draft_saved_with_issues_Anodize
7833,Gleco Plating,2025-06-18 21:29:57.925246,draft_saved_with_issues_Anodize
7833,Nxedge Inc.,2025-06-18 21:29:58.554789,draft_saved_with_issues_Anodize
7387,"Consolidated Metal Technologies, Inc.",2025-06-18 21:41:55.504752,draft_saved_Electroless Nickel
